# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,gen_rewards,gg_loss,generator_entropy_loss,generator_baseline_loss,mean_intrinsic_rewards,mean_episode_steps,ex_reward,generator_current_target
0,1605610386.078762,0,0.0009386464953422546,0.0,0.09660114347934723,0.0012652594596147537,-0.09692775458097458,,,,,,,,
1,1605610386.3740368,800,0.5376754403114319,0.7066666483879089,0.552575409412384,0.08211691677570343,-0.09701689332723618,,,,,,,,
2,1605610386.5473115,1600,-0.23931990563869476,0.0,-0.1436445266008377,0.001257265917956829,-0.09693264961242676,,,,,,,,
3,1605610386.6781125,2400,0.13253244757652283,0.2800000011920929,0.13387760519981384,0.0956031084060669,-0.09694825857877731,,,,,,,,
4,1605610387.262955,3200,5.682248115539551,0.7200000286102295,4.81644344329834,0.9626893997192383,-0.09688475728034973,,,,,,,,
5,1605610387.657456,4000,-7.830996036529541,0.20888888835906982,-7.902469158172607,0.16819626092910767,-0.09672316163778305,,,,,,,,
6,1605610387.9321275,4800,7.81488037109375,0.2316666692495346,7.034456253051758,0.8770269155502319,-0.09660284221172333,,,,,,,,
7,1605610388.1133008,5600,-7.496218681335449,0.0,-7.4766998291015625,0.07709550857543945,-0.09661441296339035,,,,,,,,
8,1605610388.309911,6400,0.9702304601669312,0.0,1.0627706050872803,0.004211786203086376,-0.09675192832946777,,,,,,,,
9,1605610388.5860977,7200,1.9447999000549316,0.0,2.0206716060638428,0.020842114463448524,-0.0967138409614563,,,,,,,,
10,1605610388.8123956,8000,-0.8079303503036499,0.0,-0.7254898548126221,0.01424651313573122,-0.09668704867362976,,,,,,,,
11,1605610389.0162814,8800,-0.7499948143959045,0.0,-0.6586978435516357,0.005427677184343338,-0.09672464430332184,,,,,,,,
12,1605610389.288572,9600,-0.11684949696063995,0.0,-0.023164987564086914,0.0031410721130669117,-0.09682558476924896,,,,,,,,
13,1605610389.8121648,10400,0.25424686074256897,0.0,0.32184064388275146,0.028995199128985405,-0.09658896923065186,,,,,,,,
14,1605610390.1598072,11200,5.8249030113220215,0.0,5.8702216148376465,0.05146176367998123,-0.09678027778863907,,,,,,,,
15,1605610390.401812,12000,-8.970385551452637,0.0,-8.942646980285645,0.06909770518541336,-0.09683584421873093,,,,,,,,
16,1605610390.7874706,12800,5.119900703430176,0.0,5.176002025604248,0.04061467573046684,-0.09671586751937866,,,,,,,,
17,1605610391.1909544,13600,-3.529540777206421,0.0,-3.444628953933716,0.011800967156887054,-0.09671273082494736,,,,,,,,
18,1605610391.4850678,14400,15.318745613098145,0.2133333384990692,13.381627082824707,2.0339269638061523,-0.09680861234664917,,,,,,,,
19,1605610391.7580512,15200,-9.91120719909668,0.0,-9.89181900024414,0.0773153156042099,-0.09670309722423553,,,,,,,,
20,1605610392.5756829,16000,-1.2930465936660767,0.0,-1.2033369541168213,0.006959119345992804,-0.09666870534420013,,,,,,,,
21,1605610392.9892488,16800,-0.1580430269241333,0.0,-0.0698477029800415,0.008417858742177486,-0.09661319106817245,,,,,,,,
